eventDate,paddockId,value,paddockSize
31/08/2013,851,1086,5.074070584
31/08/2013,940,1210,2.374920961
31/08/2013,945,970,7.274207882
31/08/2013,884,983,3.042695608
31/08/2013,893,1136,4.73814061
31/08/2013,877,910,2.508964169
31/08/2013,882,1057,4.026138175
31/08/2013,881,1074,3.308539222
31/08/2013,891,1000,3.058411991
31/08/2013,892,950,2.923051995
31/08/2013,920,1909,2.754501266
31/08/2013,853,1410,3.998670166
31/08/2013,904,1327,3.729966835
31/08/2013,855,1408,4.494255067
31/08/2013,912,1143,3.80418638
31/08/2013,921,1192,5.148090268
31/08/2013,923,1375,3.129891734
31/08/2013,932,1503,3.226488473
31/08/2013,931,1555,3.373327961
31/08/2013,935,1231,2.975802209
31/08/2013,936,1121,3.294614693
31/08/2013,903,1354,4.541210638
31/08/2013,863,1002,3.725488777
31/08/2013,862,1023,2.52104187
31/08/2013,852,1143,3.344493897
31/08/2013,919,1221,2.9301987
31/08/2013,868,2483,2.125117523
19/09/2013,884,1013,3.042695608
19/09/2013,893,1054,4.73814061
19/09/2013,877,943,2.508964169
19/09/2013,882,1154,4.026138175
19/09/2013,881,1189,3.308539222
19/09/2013,891,1021,3.058411991
19/09/2013,892,950,2.923051995
19/09/2013,863,981,3.725488777
19/09/2013,862,1073,2.52104187
1/10/2013,851,1582,5.074070584
1/10/2013,940,1313,2.374920961
1/10/2013,945,1032,7.274207882
1/10/2013,941,1312,8.838684959
1/10/2013,865,1400,2.24654384
1/10/2013,884,1200,3.042695608
1/10/2013,886,1344,5.030044973
1/10/2013,887,1296,5.679840426
1/10/2013,893,1359,4.73814061
1/10/2013,885,1159,3.667713163
1/10/2013,878,993,2.163398011
1/10/2013,879,959,2.710477511
1/10/2013,877,976,2.508964169
1/10/2013,882,1360,4.026138175
1/10/2013,881,1499,3.308539222
1/10/2013,880,1171,2.215764453
1/10/2013,888,1105,2.431555744
1/10/2013,891,1291,3.058411991
1/10/2013,892,1115,2.923051995
1/10/2013,896,1472,6.542587138
1/10/2013,907,1520,4.230977739
1/10/2013,920,3129,2.754501266
1/10/2013,897,1254,5.240167843
1/10/2013,853,1655,3.998670166
1/10/2013,904,1365,3.729966835
1/10/2013,915,1447,4.100257383
1/10/2013,921,1358,5.148090268
1/10/2013,923,1671,3.129891734
1/10/2013,933,1857,3.463323135
1/10/2013,932,2156,3.226488473
1/10/2013,931,1650,3.373327961
1/10/2013,934,1984,3.058029825
1/10/2013,935,2198,2.975802209
1/10/2013,936,1619,3.294614693
1/10/2013,937,1905,5.194722556
1/10/2013,938,1840,5.944417265
1/10/2013,939,1714,5.291838734
1/10/2013,903,1548,4.541210638
1/10/2013,925,1542,4.647761062
1/10/2013,926,1508,5.07119798
1/10/2013,863,1125,3.725488777
1/10/2013,862,1150,2.52104187
1/10/2013,852,1529,3.344493897
1/10/2013,889,1222,3.555629809
1/10/2013,890,1096,2.918525691
1/10/2013,919,1458,2.9301987
1/10/2013,868,2026,2.125117523
1/10/2013,944,1386,10.92204744
1/10/2013,922,1506,3.445599554
1/10/2013,928,1684,3.145816446
1/10/2013,929,1707,2.972386725
1/10/2013,930,2037,2.841997011
22/10/2013,865,1541,2.24654384
22/10/2013,884,1414,3.042695608
22/10/2013,886,1222,5.030044973
22/10/2013,887,1675,5.679840426
22/10/2013,893,1456,4.73814061
22/10/2013,885,1357,3.667713163
22/10/2013,879,1120,2.710477511
22/10/2013,877,1151,2.508964169
22/10/2013,888,1166,2.431555744
22/10/2013,891,1383,3.058411991
22/10/2013,892,1356,2.923051995
22/10/2013,907,1978,4.230977739
22/10/2013,920,2796,2.754501266
22/10/2013,913,2177,6.458700545
22/10/2013,931,1847,3.373327961
22/10/2013,935,2820,2.975802209
22/10/2013,936,1939,3.294614693
22/10/2013,863,1347,3.725488777
22/10/2013,862,1132,2.52104187
22/10/2013,889,1389,3.555629809
22/10/2013,890,1090,2.918525691
31/10/2013,851,2387,5.074070584
31/10/2013,940,1581,2.374920961
31/10/2013,945,1300,7.274207882
31/10/2013,941,1479,8.838684959
31/10/2013,865,1597,2.24654384
31/10/2013,884,1413,3.042695608
31/10/2013,886,1297,5.030044973
31/10/2013,887,1817,5.679840426
31/10/2013,893,1428,4.73814061
31/10/2013,885,1435,3.667713163
31/10/2013,878,985,2.163398011
31/10/2013,879,1059,2.710477511
31/10/2013,877,1137,2.508964169
31/10/2013,882,1857,4.026138175
31/10/2013,881,1745,3.308539222
31/10/2013,880,1319,2.215764453
31/10/2013,888,1164,2.431555744
31/10/2013,891,1612,3.058411991
31/10/2013,892,1484,2.923051995
31/10/2013,907,1619,4.230977739
31/10/2013,920,2440,2.754501266
31/10/2013,897,1716,5.240167843
31/10/2013,853,1606,3.998670166
31/10/2013,904,1347,3.729966835
31/10/2013,912,1250,3.80418638
31/10/2013,916,2557,2.469693385
31/10/2013,910,1436,3.483488476
31/10/2013,913,1755,6.458700545
31/10/2013,921,1575,5.148090268
31/10/2013,903,1627,4.541210638
31/10/2013,863,1396,3.725488777
31/10/2013,862,1189,2.52104187
31/10/2013,889,1502,3.555629809
31/10/2013,890,1336,2.918525691
31/10/2013,919,1577,2.9301987
31/10/2013,868,1833,2.125117523
29/11/2013,940,1977,2.374920961
29/11/2013,865,3877,2.24654384
29/11/2013,884,1855,3.042695608
29/11/2013,886,1454,5.030044973
29/11/2013,893,1703,4.73814061
29/11/2013,885,2871,3.667713163
29/11/2013,878,1497,2.163398011
29/11/2013,879,1762,2.710477511
29/11/2013,877,1533,2.508964169
29/11/2013,882,2472,4.026138175
29/11/2013,888,1428,2.431555744
29/11/2013,891,1815,3.058411991
29/11/2013,892,1595,2.923051995
29/11/2013,907,2500,4.230977739
29/11/2013,920,3975,2.754501266
29/11/2013,897,2202,5.240167843
29/11/2013,904,1829,3.729966835
29/11/2013,917,2161,2.292311486
29/11/2013,915,3362,4.100257383
29/11/2013,913,3280,6.458700545
29/11/2013,921,2741,5.148090268
29/11/2013,923,3014,3.129891734
29/11/2013,903,2875,4.541210638
29/11/2013,862,1586,2.52104187
29/11/2013,860,1766,7.023859853
31/12/2013,940,1724,2.374920961
31/12/2013,865,1936,2.24654384
31/12/2013,876,1683,5.326136969
31/12/2013,875,1345,2.297550985
31/12/2013,884,2395,3.042695608
31/12/2013,886,2241,5.030044973
31/12/2013,887,2480,5.679840426
31/12/2013,893,2094,4.73814061
31/12/2013,885,1914,3.667713163
31/12/2013,878,2356,2.163398011
31/12/2013,881,1459,3.308539222
31/12/2013,880,2330,2.215764453
31/12/2013,888,1865,2.431555744
31/12/2013,891,2223,3.058411991
31/12/2013,892,2006,2.923051995
31/12/2013,907,3772,4.230977739
31/12/2013,920,2387,2.754501266
31/12/2013,853,1942,3.998670166
31/12/2013,904,1841,3.729966835
31/12/2013,855,1930,4.494255067
31/12/2013,912,1508,3.80418638
31/12/2013,917,1917,2.292311486
31/12/2013,916,2515,2.469693385
31/12/2013,915,1576,4.100257383
31/12/2013,913,1681,6.458700545
31/12/2013,921,2102,5.148090268
31/12/2013,903,2303,4.541210638
31/01/2014,851,2131,5.074070584
31/01/2014,940,1888,2.374920961
31/01/2014,945,2055,7.274207882
31/01/2014,865,2289,2.24654384
31/01/2014,876,2208,5.326136969
31/01/2014,884,2222,3.042695608
31/01/2014,886,2331,5.030044973
31/01/2014,893,1858,4.73814061
31/01/2014,885,1650,3.667713163
31/01/2014,888,1786,2.431555744
31/01/2014,891,3320,3.058411991
31/01/2014,892,2391,2.923051995
31/01/2014,907,2867,4.230977739
31/01/2014,920,2368,2.754501266
31/01/2014,897,2694,5.240167843
31/01/2014,853,2307,3.998670166
31/01/2014,904,1477,3.729966835
31/01/2014,915,1442,4.100257383
31/01/2014,913,1622,6.458700545
31/01/2014,923,2073,3.129891734
31/01/2014,933,2113,3.463323135
31/01/2014,932,2386,3.226488473
31/01/2014,934,2496,3.058029825
31/01/2014,935,2248,2.975802209
31/01/2014,936,1943,3.294614693
31/01/2014,937,2328,5.194722556
31/01/2014,938,2720,5.944417265
31/01/2014,939,2768,5.291838734
31/01/2014,903,1798,4.541210638
31/01/2014,852,1740,3.344493897
31/01/2014,889,2506,3.555629809
31/01/2014,890,2600,2.918525691
31/01/2014,919,2471,2.9301987
31/01/2014,868,1809,2.125117523
31/01/2014,922,1493,3.445599554
31/01/2014,928,2413,3.145816446
31/01/2014,930,2272,2.841997011
25/02/2014,933,2300,3.463323135
25/02/2014,932,2443,3.226488473
25/02/2014,931,2011,3.373327961
25/02/2014,934,2069,3.058029825
25/02/2014,935,1905,2.975802209
25/02/2014,936,2016,3.294614693
25/02/2014,937,1783,5.194722556
25/02/2014,938,2046,5.944417265
25/02/2014,939,2256,5.291838734
25/02/2014,903,1817,4.541210638
